Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,Primary Votes,Primary %,,,
Conor Lamb,Male,White,,,No,No,Pennsylvania,5/17/22,Senator,N/A,"3,37,498",26%,,,
Malcolm Kenyatta,Male,Black,,,No,No,Pennsylvania,5/17/22,Senator,N/A,"1,39,393",11%,,,
John Fetterman,Male,White,,,No,No,Pennsylvania,5/17/22,Senator,N/A,"7,53,557",59%,,,
Ashley Ehasz,Female,White,,,No,No,Pennsylvania,5/17/22,Representative,1,"79,546",100%,,,
Brendan F. Boyle,Male,White,,,Yes,No,Pennsylvania,5/17/22,Representative,2,"53,825",100%,,,
Dwight Evans,Male,Black,,,Yes,No,Pennsylvania,5/17/22,Representative,3,"97,709",76%,,,
Alexandra Hunt,Female,White,,,No,Yes,Pennsylvania,5/17/22,Representative,3,"25,712",20%,,,
Michael Cogbill,Male,Black,,,No,Yes,Pennsylvania,5/17/22,Representative,3,"5,728",4%,,,
Madeleine Dean,Female,White,,,Yes,No,Pennsylvania,5/17/22,Representative,4,"96,876",100%,,,
Mary Gay Scanlon,Female,White,,,Yes,No,Pennsylvania,5/17/22,Representative,5,"79,816",100%,,,
Chrissy Houlahan,Female,White,,,Yes,No,Pennsylvania,5/17/22,Representative,6,"71,950",100%,,,
Susan Wild,Female,White,,,Yes,No,Pennsylvania,5/17/22,Representative,7,"63,817",100%,,,
Matt Cartwright,Male,White,,,Yes,No,Pennsylvania,5/17/22,Representative,8,"68,696",100%,,,
Amanda R. Waldman,Female,White,,,No,No,Pennsylvania,5/17/22,Representative,9,"41,622",100%,,,
Rick Coplen,Male,White,,,No,No,Pennsylvania,5/17/22,Representative,10,"29,128",47%,,,
Shamaine Daniels,Female,Latino (Venezuelan),,,No,No,Pennsylvania,5/17/22,Representative,10,"32,260",53%,,,
Bob Hollister,Male,White,,,No,No,Pennsylvania,5/17/22,Representative,11,"46,080",100%,,,
Jeff Woodard,Male,Black,,,No,No,Pennsylvania,5/17/22,Representative,12,"5,454",5%,,,
Steve Irwin,Male,White,,,No,No,Pennsylvania,5/17/22,Representative,12,"47,014",41%,,,
William Parker,Male,Black,,,No,No,Pennsylvania,5/17/22,Representative,12,"1,670",1%,,,
Summer Lee,Female,Black,,,No,No,Pennsylvania,5/17/22,Representative,12,"48,002",42%,,,
Jerry Dickinson,Male,Black,White,,No,No,Pennsylvania,5/17/22,Representative,12,"12,440",11%,,,
Dan Pastore,Male,White,,,No,No,Pennsylvania,5/17/22,Representative,16,"44,262",69%,,,
Rick Telesz,Male,White,,,No,No,Pennsylvania,5/17/22,Representative,16,"19,788",31%,,,
Chris Deluzio,Male,White,,,No,No,Pennsylvania,5/17/22,Representative,17,"62,389",64%,,,
Sean Meloy,Male,White,,,No,No,Pennsylvania,5/17/22,Representative,17,"35,638",36%,,,
Josh Shapiro,Male,White,,,No,No,Pennsylvania,5/17/22,Governor,N/A,"12,27,151",100%,,,
Taysha DeVaughan,Female,Native American (Comanche),,,No,No,Virginia,5/21/22,Representative,9,1,100%,,,
Will Boyd,Male,Black,,,No,No,Alabama,5/24/22,Senator,N/A,"1,07,588",64%,,,
Brandaun Dean,Male,Black,,,No,No,Alabama,5/24/22,Senator,N/A,"32,863",19%,,,
Lanny Jackson,Male,Black,,,No,No,Alabama,5/24/22,Senator,N/A,"28,402",17%,,,
Phyllis Harvey-Hall,Female,Black,,,No,No,Alabama,5/24/22,Representative,2,"16,884",69%,,,
Vimal Patel,Male,Asian,,,No,No,Alabama,5/24/22,Representative,2,"7,667",31%,,,
Lin Veasey,Female,Unknown,,,No,No,Alabama,5/24/22,Representative,3,1,100%,,,
Rhonda Gore,Female,White,,,No,No,Alabama,5/24/22,Representative,4,"3,823",46%,,,
Rick Neighbors,Male,White,,,No,No,Alabama,5/24/22,Representative,4,"4,500",54%,,,
Charlie Thompson,Male,White,,,No,No,Alabama,5/24/22,Representative,5,"6,739",43%,,,
Kathy Warner-Stanton,Female,Black,,,No,No,Alabama,5/24/22,Representative,5,"9,010",57%,,,
Terrycina Sewell,Female,Black,,,Yes,No,Alabama,5/24/22,Representative,7,1,100%,,,
Yolanda Rochelle Flowers,Female,Black,,,No,No,Alabama,5/24/22,Governor,N/A,"56,991",34%,,,
Malika Sanders-Fortier,Female,Black,,,No,No,Alabama,5/24/22,Governor,N/A,"54,699",33%,,,
Patricia Salter Jamieson,Female,Black,,,No,No,Alabama,5/24/22,Governor,N/A,"19,691",12%,,,
Arthur Kennedy,Male,Black,,,No,No,Alabama,5/24/22,Governor,N/A,"15,630",9%,,,
"Chad ""Chig"" Martin",Male,White,,,No,No,Alabama,5/24/22,Governor,N/A,"9,352",6%,,,
"Doug ""New Blue"" Smith",Male,White,,,No,No,Alabama,5/24/22,Governor,N/A,"11,861",7%,,,
Jack E. Foster,Male,Black,,,No,No,Arkansas,5/24/22,Senator,N/A,"13,891",15%,,,
Natalie James,Female,Black,,,No,No,Arkansas,5/24/22,Senator,N/A,"49,722",54%,,,
Dan Whitfield,Male,White,,,No,No,Arkansas,5/24/22,Senator,N/A,"28,319",31%,,,
Monte Hodges,Male,Black,,,No,No,Arkansas,5/24/22,Representative,1,1,100%,,,
Quintessa Hathaway,Female,Black,,,No,No,Arkansas,5/24/22,Representative,2,1,100%,,,
Lauren Mallett-Hays,Female,White,,,No,No,Arkansas,5/24/22,Representative,3,1,100%,,,
John White,Male,White,,,No,No,Arkansas,5/24/22,Representative,4,1,100%,,,
"Anthony ""Tony"" Bland",Male,Black,,,No,No,Arkansas,5/24/22,Governor,N/A,"9,055",10%,,,
Supha Xayprasith-Mays,Female,Asian,,,No,No,Arkansas,5/24/22,Governor,N/A,"4,725",5%,,,
"James ""Rus"" Russell III",Male,White,,,No,No,Arkansas,5/24/22,Governor,N/A,"6,421",7%,,,
Chris Jones,Male,Black,,,No,No,Arkansas,5/24/22,Governor,N/A,"66,540",70%,,,
Jay Martin,Male,White,,,No,No,Arkansas,5/24/22,Governor,N/A,"7,731",8%,,,
Tamara Johnson-Shealey,Female,Black,,,No,Yes,Georgia,5/24/22,Senator,N/A,"28,984",4%,,,
Raphael Warnock,Male,Black,,,Yes,No,Georgia,5/24/22,Senator,N/A,"7,02,610",96%,,,
Joyce Marie Griggs,Female,Black,,,No,No,Georgia,5/24/22,Representative,1,"21,891",49%,,,
Wade Herring,Male,White,,,No,No,Georgia,5/24/22,Representative,1,"17,118",38%,,,
Michelle L. Munroe,Female,White,,,No,No,Georgia,5/24/22,Representative,1,"6,043",13%,,,
Sanford Bishop,Male,Black,,,Yes,No,Georgia,5/24/22,Representative,2,"54,991",94%,,,
Joe O'Hara,Male,Unknown,,,No,Yes,Georgia,5/24/22,Representative,2,"3,812",6%,,,
Val Almonord,Male,Black,,,No,No,Georgia,5/24/22,Representative,3,1,100%,,,
"Henry C. ""Hank"" Johnson Jr.",Male,Black,,,Yes,No,Georgia,5/24/22,Representative,4,1,100%,,,
Charlotte Macbagito,Female,Black,White,,No,Yes,Georgia,5/24/22,Representative,5,"3,791",4%,,,
Valencia Stovall,Female,Black,,,No,Yes,Georgia,5/24/22,Representative,5,"8,701",10%,,,
Nikema Williams,Female,Black,,,Yes,No,Georgia,5/24/22,Representative,5,"78,440",86%,,,
Bob Christian,Male,White,,,No,No,Georgia,5/24/22,Representative,6,"18,776",56%,,,
Wayne C. White,Male,White,,,No,No,Georgia,5/24/22,Representative,6,"15,025",44%,,,
Carolyn Bourdeaux,Female,White,,,Yes,Yes,Georgia,5/24/22,Representative,7,"16,310",31%,,,
Lucy McBath,Female,Black,,,Yes,Yes,Georgia,5/24/22,Representative,7,"33,607",63%,,,
Donna McLeod,Female,Black,,,No,Yes,Georgia,5/24/22,Representative,7,"3,352",6%,,,
Darrius Butler,Male,Black,,,No,No,Georgia,5/24/22,Representative,8,1,100%,,,
"Michael ""Mike"" Ford",Male,White,,,No,No,Georgia,5/24/22,Representative,9,1,100%,,,
Jessica Allison Fore,Female,White,,,No,No,Georgia,5/24/22,Representative,10,"7,257",19%,,,
Tabitha Johnson-Green,Female,Black,,,No,No,Georgia,5/24/22,Representative,10,"15,821",42%,,,
Phyllis Hatcher,Female,Black,,,No,No,Georgia,5/24/22,Representative,10,"7,120",19%,,,
Femi Oduwole,Male,Black,,,No,No,Georgia,5/24/22,Representative,10,"4,427",12%,,,
Paul Walton,Male,Black,,,No,No,Georgia,5/24/22,Representative,10,"3,077",8%,,,
Antonio Daza,Male,Latino (Venezuelan),,,No,No,Georgia,5/24/22,Representative,11,1,100%,,,
"Elizabeth ""Liz"" Johnson",Female,Black,,,No,No,Georgia,5/24/22,Representative,12,1,100%,,,
Mark Baker,Male,Black,,,No,Yes,Georgia,5/24/22,Representative,13,"11,581",13%,,,
Shastity Driscoll,Female,Black,,,No,Yes,Georgia,5/24/22,Representative,13,"10,906",12%,,,
Vincent Fort,Male,Black,,,No,Yes,Georgia,5/24/22,Representative,13,"9,108",10%,,,
David Scott,Male,Black,,,Yes,No,Georgia,5/24/22,Representative,13,"60,544",66%,,,
Wendy Davis,Female,White,,,No,No,Georgia,5/24/22,Representative,14,"5,141",19%,,,
Marcus Flowers,Male,Black,,,No,No,Georgia,5/24/22,Representative,14,"20,082",75%,,,
Holly McCormack,Female,White,,,No,No,Georgia,5/24/22,Representative,14,"1,662",6%,,,
Stacey Abrams,Female,Black,,,No,No,Georgia,5/24/22,Governor,N/A,1,100%,,,
Melanie Ann Stansbury,Female,White,,,Yes,No,New Mexico,06-07-2022,Representative,1,1,100%,,,
Gabriel Vasquez,Male,Latino (Mexican),,,No,No,New Mexico,06-07-2022,Representative,2,"24,010",76%,,,
Darshan Nilesh Patel,Male,Asian (Indian),,,No,No,New Mexico,06-07-2022,Representative,2,"7,534",24%,,,
Teresa Leger Fernandez,Female,Latino,,,Yes,No,New Mexico,06-07-2022,Representative,3,1,100%,,,
Michelle Lujan Grisham,Female,Latino (Mexican),,,Yes,No,New Mexico,06-07-2022,Governor,N/A,1,100%,,,
Hunter Avery,Male,White,,,No,No,Mississippi,06-07-2022,Representative,1,"2,203",21%,,,
Dianne Black,Female,Black,,,No,No,Mississippi,06-07-2022,Representative,1,"8,268",79%,,,
Jerry Kerner,Male,White,,,No,Yes,Mississippi,06-07-2022,Representative,2,"1,927",4%,,,
Bennie G. Thompson,Male,Black,,,Yes,No,Mississippi,06-07-2022,Representative,2,"49,907",96%,,,
Shuwaski A. Young,Male,Black,,,No,No,Mississippi,06-07-2022,Representative,3,1,100%,,,
Johnny L. DuPree ,Male,Black,,,No,No,Mississippi,06-07-2022,Representative,4,"9,952",85%,,,
David Sellers,Male,White,,,No,No,Mississippi,06-07-2022,Representative,4,"1,766",15%,,,
Cora Neumann,Female,White,,,No,No,Montana,06-07-2022,Representative,1,"15,396",27%,,,
Monica Tranel,Female,White,,,No,No,Montana,06-07-2022,Representative,1,"37,138",65%,,,
Tom Winter,Male,White,,,No,No,Montana,06-07-2022,Representative,1,"4,723",8%,,,
Penny Ronning,Female,White,,,No,No,Montana,06-07-2022,Representative,2,"21,983",58%,,,
Mark Sweeney,Male,White,,,No,No,Montana,06-07-2022,Representative,2,"8,586",23%,,,
Skylar Williams,Male,Native American,Latino,,No,No,Montana,06-07-2022,Representative,2,"7,029",19%,,,
Abby Finkenauer,Female,White,,,No,No,Iowa,06-07-2022,Senator,N/A,"62,581",40%,,,
Michael Franken,Male,White,,,No,No,Iowa,06-07-2022,Senator,N/A,"86,527",55%,,,
Glenn Hurst,Male,White,,,No,No,Iowa,06-07-2022,Senator,N/A,"7,571",5%,,,
Christina Bohannan,Female,White,,,No,No,Iowa,06-07-2022,Representative,1,1,100%,,,
Liz Mathis,Female,White,,,No,No,Iowa,06-07-2022,Representative,2,1,100%,,,
Cindy Axne,Female,White,,,Yes,No,Iowa,06-07-2022,Representative,3,1,100%,,,
Ryan Melton,Male,White,,,No,No,Iowa,06-07-2022,Representative,4,1,100%,,,
Deidre DeJear,Female,Black,,,No,No,Iowa,06-07-2022,Governor,N/A,1,100%,,,
Brian L. Bengs,Male,White,,,No,No,South Dakota,06-07-2022,Senator,N/A,1,100%,,,
Jamie Smith,Male,White,,,No,No,South Dakota,06-07-2022,Governor,N/A,1,100%,,,
Donald W. Norcross,Male,White,,,Yes,No,New Jersey,06-07-2022,Representative,1,"44,985",77%,,,
Mario DeSantis,Male,White,,,No,Yes,New Jersey,06-07-2022,Representative,1,"13,696",23%,,,
Tim Alexander,Male,Black,,,No,No,New Jersey,06-07-2022,Representative,2,"17,199",62%,,,
Carolyn Rush,Female,White,,,No,No,New Jersey,06-07-2022,Representative,2,"10,667",38%,,,
Andy Kim,Male,Asian (Korean),,,Yes,No,New Jersey,06-07-2022,Representative,3,"39,433",93%,,,
Reuven Hendler,Male,White,,,No,Yes,New Jersey,06-07-2022,Representative,3,"3,062",7%,,,
Matthew Jenkins,Male,White,,,No,No,New Jersey,06-07-2022,Representative,4,"20,655",100%,,,
Josh Gottheimer,Male,White,,,Yes,No,New Jersey,06-07-2022,Representative,5,"31,142",100%,,,
Frank Pallone Jr.,Male,White,,,Yes,No,New Jersey,06-07-2022,Representative,6,"30,534",100%,,,
Tom Malinowski,Male,White (Polish),,,Yes,No,New Jersey,06-07-2022,Representative,7,"37,304",94%,,,
Roger Bacon,Male,White,,,No,Yes,New Jersey,06-07-2022,Representative,7,"2,185",6%,,,
Robert J. Menendez,Male,Latino (Cuban),,,No,No,New Jersey,06-07-2022,Representative,8,"26,490",83%,,,
David Ocampo Grajales,Male,Latino (Colombian),,,No,No,New Jersey,06-07-2022,Representative,8,"3,749",12%,,,
Ane Roseborough-Eberhard,Female,Black,,,No,No,New Jersey,06-07-2022,Representative,8,"1,668",5%,,,
Bill Pascrell Jr.,Male,White,,,Yes,No,New Jersey,06-07-2022,Representative,9,"19,524",100%,,,
Donald M. Payne Jr.,Male,Black,,,Yes,No,New Jersey,06-07-2022,Representative,10,"29,680",83%,,,
Akil Khalfani,Male,Black,,,No,Yes,New Jersey,06-07-2022,Representative,10,"2,169",6%,,,
Imani Oakley,Female,Black,,,No,Yes,New Jersey,06-07-2022,Representative,10,"3,764",11%,,,
Mikie Sherrill,Female,White,,,Yes,No,New Jersey,06-07-2022,Representative,11,"37,948",100%,,,
Bonnie Watson Coleman,Female,Black,,,Yes,No,New Jersey,06-07-2022,Representative,12,"37,440",100%,,,
Akinyemi Agbede,Male,Black,,,No,Yes,California,06-07-2022,Senator,N/A,"70,971",2%,,,
Dan O'Dowd,Male,White,,,No,Yes,California,06-07-2022,Senator,N/A,"74,916",2%,,,
Alex Padilla,Male,Latino (Mexican),,,Yes,No,California,06-07-2022,Senator,N/A,"37,25,544",91%,,,
Douglas Howard Pierce,Male,White,,,No,Yes,California,06-07-2022,Senator,N/A,"1,16,771",3%,,,
Obaidul Huq Pirjada,Male,Asian (Indian),,,No,Yes,California,06-07-2022,Senator,N/A,"27,889",1%,,,
Timothy J. Ursich,Male,White,,,No,Yes,California,06-07-2022,Senator,N/A,"58,348",1%,,,
Dan O'Dowd,Male,White,,,No,Yes,California,06-07-2022,Senator (unexpired term),N/A,"1,91,531",5%,,,
Alex Padilla,Male,Latino (Mexican),,,Yes,No,California,06-07-2022,Senator (unexpired term),N/A,"37,40,582",90%,,,
Timothy Ursich Jr.,Male,White,,,No,Yes,California,06-07-2022,Senator (unexpired term),N/A,"2,26,447",5%,,,
Max Steiner,Male,White,,,No,No,California,06-07-2022,Representative,1,"55,549",100%,,,
Beth Hampson,Female,White,,,No,Yes,California,06-07-2022,Representative,2,"14,262",9%,,,
Jared Huffman,Male,White,,,Yes,No,California,06-07-2022,Representative,2,"1,45,245",91%,,,
Kermit Jones,Male,Black,,,No,No,California,06-07-2022,Representative,3,"91,217",88%,,,
David Peterson,Male,White,,,No,No,California,06-07-2022,Representative,3,"12,675",12%,,,
Andrew David Engdahl,Male,White,,,No,Yes,California,06-07-2022,Representative,4,"8,634",7%,,,
Mike Thompson,Male,White,,,Yes,No,California,06-07-2022,Representative,4,"1,15,041",93%,,,
"Michael J. ""Mike"" Barkley",Male,White,,,No,No,California,06-07-2022,Representative,5,"64,285",100%,,,
Ami Bera,Male,Asian (Indian),,,Yes,No,California,06-07-2022,Representative,6,"76,317",91%,,,
Mark Gorman,Male,White,,,No,Yes,California,06-07-2022,Representative,6,"7,528",9%,,,
Jimmy Fremgen,Male,White,,,No,Yes,California,06-07-2022,Representative,7,"12,550",12%,,,
Doris Matsui,Female,Asian (Japanese),,,Yes,No,California,06-07-2022,Representative,7,"94,896",88%,,,
John Garamendi,Male,White,,,Yes,No,California,06-07-2022,Representative,8,"72,333",80%,,,
Christopher Riley,Male,Latino (Salvadoran),White,,No,Yes,California,06-07-2022,Representative,8,"3,926",4%,,,
Edwin Rutsch,Male,White,,,No,Yes,California,06-07-2022,Representative,8,"3,268",4%,,,
Cheryl Sudduth,Female,Black,,,No,Yes,California,06-07-2022,Representative,8,"11,378",13%,,,
Harpreet Singh Chima,Male,Asian,,,No,Yes,California,06-07-2022,Representative,9,"8,433",16%,,,
Karena Apple Feng,Female,Asian,,,No,Yes,California,06-07-2022,Representative,9,"2,632",5%,,,
Josh Harder,Male,White,,,Yes,No,California,06-07-2022,Representative,9,"39,026",73%,,,
Khalid Jeffrey Jafri,Male,Asian (Indian),,,No,Yes,California,06-07-2022,Representative,9,"3,174",6%,,,
Mark DeSaulnier,Male,White,,,Yes,No,California,06-07-2022,Representative,10,"1,24,787",100%,,,
Shahid Buttar,Male,Asian (Pakistani),,,No,Yes,California,06-07-2022,Representative,11,"19,471",12%,,,
Nancy Pelosi,Female,White,,,Yes,No,California,06-07-2022,Representative,11,"1,33,798",84%,,,
Jeffrey Phillips,Male,White,,,No,Yes,California,06-07-2022,Representative,11,"3,595",2%,,,
Bianca Von Krieg,Female,White,,,No,Yes,California,06-07-2022,Representative,11,"2,499",2%,,,
Barbara Lee,Female,Black,,,Yes,No,California,06-07-2022,Representative,12,"1,35,892",97%,,,
Eric Wilson,Male,Black,,,No,Yes,California,06-07-2022,Representative,12,"3,753",3%,,,
Phil Arballo,Male,Latino,,,No,No,California,06-07-2022,Representative,13,"13,099",36%,,,
Adam Gray,Male,White,,,No,No,California,06-07-2022,Representative,13,"23,784",64%,,,
James Andrew Peters,Male,White,,,No,Yes,California,06-07-2022,Representative,14,"6,216",7%,,,
Eric Swalwell,Male,White,,,Yes,No,California,06-07-2022,Representative,14,"77,120",93%,,,
Emily Beach,Female,White,,,No,No,California,06-07-2022,Representative,15,"20,816",18%,,,
David J. Canepa,Male,White,,,No,No,California,06-07-2022,Representative,15,"34,488",30%,,,
Kevin Mullin,Male,White,,,No,No,California,06-07-2022,Representative,15,"58,806",51%,,,
Andrew G. Watters,Male,White,,,No,No,California,06-07-2022,Representative,15,"1,551",1%,,,
Anna G. Eshoo,Female,Middle Eastern (Armenian),,,Yes,No,California,06-07-2022,Representative,16,"81,100",62%,,,
Rishi Kumar,Male,Asian (Indian),,,No,Yes,California,06-07-2022,Representative,16,"26,438",20%,,,
Ajwang Rading,Male,Black,,,No,Yes,California,06-07-2022,Representative,16,"11,418",9%,,,
Greg Lin Tanaka,Male,Asian,,,No,Yes,California,06-07-2022,Representative,16,"11,107",9%,,,
Stephen Forbes,Male,White,,,No,Yes,California,06-07-2022,Representative,17,"5,694",7%,,,
Ro Khanna,Male,Asian (Indian),,,Yes,No,California,06-07-2022,Representative,17,"74,892",90%,,,
Rao Ravul,Male,Asian,,,No,Yes,California,06-07-2022,Representative,17,"2,394",3%,,,
Luis Acevedo-Arreguin,Male,Latino (Mexican),,,No,Yes,California,06-07-2022,Representative,18,"11,253",18%,,,
Zoe Lofgren,Female,White,,,Yes,No,California,06-07-2022,Representative,18,"50,104",82%,,,
Douglas Deitch,Male,White,,,No,Yes,California,06-07-2022,Representative,19,"5,700",4%,,,
Jimmy Panetta,Male,White,,,Yes,No,California,06-07-2022,Representative,19,"1,27,545",96%,,,
Ben Dewell,Male,White,,,No,No,California,06-07-2022,Representative,20,"8,757",21%,,,
Marisa Wood,Female,White,,,No,No,California,06-07-2022,Representative,20,"33,511",79%,,,
Jim Costa,Male,White,,,Yes,No,California,06-07-2022,Representative,21,"33,850",82%,,,
Eric Garcia,Male,Latino (Mexican),,,No,Yes,California,06-07-2022,Representative,21,"7,239",18%,,,
Rudy Salas,Male,Latino,,,No,No,California,06-07-2022,Representative,22,"25,337",100%,,,
Blanca A. Gómez,Female,Latino,,,No,No,California,06-07-2022,Representative,23,"16,516",44%,,,
Derek Marshall,Male,White,,,No,No,California,06-07-2022,Representative,23,"20,776",56%,,,
Salud Carbajal,Male,Latino (Mexican),,,Yes,No,California,06-07-2022,Representative,24,"1,11,199",100%,,,
Raul Ruiz,Male,Latino (Mexican),,,Yes,No,California,06-07-2022,Representative,25,"55,315",100%,,,
Julia Brownley,Female,White,,,Yes,No,California,06-07-2022,Representative,26,"91,535",100%,,,
Ruth Luevanos,Female,Latino,,,No,No,California,06-07-2022,Representative,27,"6,668",11%,,,
Quaye Quartey,Male,Black,,,No,No,California,06-07-2022,Representative,27,"8,303",14%,,,
Christy Smith,Female,White,,,No,No,California,06-07-2022,Representative,27,"45,675",75%,,,
Dorothy Caronna,Female,White,,,No,Yes,California,06-07-2022,Representative,28,"7,993",8%,,,
Judy Chu,Female,Asian (Chinese),,,Yes,No,California,06-07-2022,Representative,28,"90,395",92%,,,
Tony Cardenas,Male,Latino (Mexican),,,Yes,No,California,06-07-2022,Representative,29,"47,941",71%,,,
Angélica María Dueñas,Female,Latino (Mexican),,,No,Yes,California,06-07-2022,Representative,29,"19,321",29%,,,
Sal Genovese,Male,White,,,No,Yes,California,06-07-2022,Representative,30,"2,612",2%,,,
"G ""Maebe A. Girl"" Pudlo",Female,White,,,No,Yes,California,06-07-2022,Representative,30,"21,053",17%,,,
Adam B. Schiff,Male,White,,,Yes,No,California,06-07-2022,Representative,30,"1,02,290",81%,,,
Rocco Anthony De Luca,Male,White,,,No,Yes,California,06-07-2022,Representative,31,"6,948",12%,,,
Grace F. Napolitano,Female,Latino,,,Yes,No,California,06-07-2022,Representative,31,"49,415",88%,,,
Shervin Aazami,Male,Middle Eastern (Iranian),,,No,Yes,California,06-07-2022,Representative,32,"15,035",13%,,,
Jason Potell,Male,White,,,No,Yes,California,06-07-2022,Representative,32,"2,943",2%,,,
Raji Rab,Male,Asian,,,No,Yes,California,06-07-2022,Representative,32,"2,938",2%,,,
Aarika Samone Rhodes,Female,Black,,,No,Yes,California,06-07-2022,Representative,32,"8,744",7%,,,
Brad Sherman,Male,White,,,Yes,No,California,06-07-2022,Representative,32,"88,063",75%,,,
Pete Aguilar,Male,Latino (Mexican),,,Yes,No,California,06-07-2022,Representative,33,"41,046",100%,,,
Jimmy Gomez,Male,Latino (Mexican),,,Yes,No,California,06-07-2022,Representative,34,"45,376",57%,,,
David Kim,Male,Asian (Korean),,,No,Yes,California,06-07-2022,Representative,34,"34,921",43%,,,
Lloyd A. Stevens,Male,White,,,No,Yes,California,06-07-2022,Representative,35,"3,022",7%,,,
Norma J. Torres,Female,Latino (Guatemalan),,,Yes,No,California,06-07-2022,Representative,35,"37,554",93%,,,
Ted W. Lieu,Male,Asian (Taiwanese),,,Yes,No,California,06-07-2022,Representative,36,"1,22,969",95%,,,
Colin Kilpatrick Obrien,Male,Unknown,,,No,Yes,California,06-07-2022,Representative,36,"6,221",5%,,,
Sydney Kamlager,Female,Black,White,,No,No,California,06-07-2022,Representative,37,"42,628",48%,,,
Daniel W. Lee,Male,Black,,,No,No,California,06-07-2022,Representative,37,"17,414",20%,,,
Sandra Mendoza,Female,Latino,,,No,No,California,06-07-2022,Representative,37,"8,017",9%,,,
Jan C. Perry,Female,Black,,,No,No,California,06-07-2022,Representative,37,"17,993",20%,,,
Michael Shure,Male,White,,,No,No,California,06-07-2022,Representative,37,"2,469",3%,,,
Linda T. Sánchez,Female,Latino (Mexican),,,Yes,No,California,06-07-2022,Representative,38,"58,586",100%,,,
Mark Takano,Male,Asian (Japanese),,,Yes,No,California,06-07-2022,Representative,39,"44,067",100%,,,
Asif Mahmood,Male,Asian (Pakistani),,,No,No,California,06-07-2022,Representative,40,"74,607",100%,,,
Shrina Kurani,Female,Asian (Indian),,,No,No,California,06-07-2022,Representative,41,"23,483",34%,,,
Will Rollins,Male,White,,,No,No,California,06-07-2022,Representative,41,"45,923",66%,,,
Joaquín Beltrán,Male,Latino (Mexican),,,No,No,California,06-07-2022,Representative,42,"2,254",3%,,,
Cristina Garcia,Female,Latino,,,No,No,California,06-07-2022,Representative,42,"11,685",18%,,,
Robert Garcia,Male,Latino (Peruvian),,,No,No,California,06-07-2022,Representative,42,"43,406",66%,,,
J. Nicole Lopez,Female,Latino (Mexican),,,No,No,California,06-07-2022,Representative,42,"3,164",5%,,,
Peter Mathews,Male,Asian (Indian),,,No,No,California,06-07-2022,Representative,42,"3,415",5%,,,
William Moses Summerville,Male,Black,,,No,No,California,06-07-2022,Representative,42,"2,301",3%,,,
Jean M. Monestime,Male,Unknown,,,No,Yes,California,06-07-2022,Representative,43,"2,952",5%,,,
Maxine Waters,Female,Black,,,Yes,No,California,06-07-2022,Representative,43,"55,889",95%,,,
Nanette Diaz Barragan,Female,Latino (Mexican),,,Yes,No,California,06-07-2022,Representative,44,"58,594",91%,,,
Morris Falls Griffin,Male,Black,,,No,Yes,California,06-07-2022,Representative,44,"6,110",9%,,,
Jay F. Chen,Male,Asian (Taiwanese),,,No,No,California,06-07-2022,Representative,45,"58,721",100%,,,
Lou Correa,Male,Latino (Mexican),,,Yes,No,California,06-07-2022,Representative,46,"37,311",80%,,,
Mike Ortega,Male,Latino (Puerto Rican / Ecuadorian),,,No,Yes,California,06-07-2022,Representative,46,"9,311",20%,,,
Katie Porter,Female,White,,,Yes,No,California,06-07-2022,Representative,47,"86,742",100%,,,
Stephen Houlahan,Male,White,,,No,No,California,06-07-2022,Representative,48,"45,740",75%,,,
Matthew G. Rascon,Male,White,,,No,No,California,06-07-2022,Representative,48,"14,983",25%,,,
Mike Levin,Male,White,,,Yes,No,California,06-07-2022,Representative,49,"92,211",95%,,,
Nadia Bahia Smalley,Female,Black,,,No,Yes,California,06-07-2022,Representative,49,"4,804",5%,,,
Scott Peters,Male,White,,,Yes,No,California,06-07-2022,Representative,50,"89,894",85%,,,
Kylie Louie Vie Benitez Taitano,Female,Asian (Filipino),,,No,Yes,California,06-07-2022,Representative,50,"16,065",15%,,,
Sara Jacobs,Female,White,,,Yes,No,California,06-07-2022,Representative,51,"91,329",100%,,,
Juan Vargas,Male,Latino (Mexican),,,Yes,No,California,06-07-2022,Representative,52,"56,827",85%,,,
Joaquín Vázquez,Male,Latino (Mexican),,,No,Yes,California,06-07-2022,Representative,52,"9,965",15%,,,
"Anthony ""Tony"" Fanara",Male,White,,,No,Yes,California,06-07-2022,Governor,N/A,"25,086",1%,,,
Gavin Newsom,Male,White,,,Yes,No,California,06-07-2022,Governor,N/A,"39,45,728",97%,,,
"Armando ""Mando"" Perez-Serrato",Male,Latino (Mexican),,,No,Yes,California,06-07-2022,Governor,N/A,"45,474",1%,,,
Joel Ventresca,Male,White,,,No,Yes,California,06-07-2022,Governor,N/A,"66,885",2%,,,
Jennifer Lewis,Female,White,,,No,No,Virginia,06-11-2022,Representative,6,N/A,N/A,,,
Chellie Pingree,Female,White,,,Yes,No,Maine,6/14/22,Representative,1,"43,007",94%,,,
Jared Golden,Male,White,,,Yes,No,Maine,6/14/22,Representative,2,"25,684",90%,,,
Janet Mills,Female,White,,,Yes,No,Maine,6/14/22,Governor,N/A,"69,422",93%,,,
